"REF_DATE","GEO","DGUID","Traveller characteristics","Traveller type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-03","Bathurst","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296963207","35.41.3","4","","p","","0"
"2025-03","Bathurst","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296963208","35.42.1","10","","p","","0"
"2025-03","Bathurst","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296963209","35.42.2","6","","p","","0"
"2025-03","Bathurst","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296963210","35.42.3","4","","p","","0"
"2025-03","Fundy Coastal","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296963675","37.41.1","56721","","p","","0"
"2025-03","Fundy Coastal","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296963676","37.41.2","36704","","p","","0"
"2025-03","Fundy Coastal","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296963677","37.41.3","20017","","p","","0"
"2025-03","Fundy Coastal","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296963678","37.42.1","49209","","p","","0"
"2025-03","Fundy Coastal","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296963679","37.42.2","36665","","p","","0"
"2025-03","Fundy Coastal","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296963680","37.42.3","12544","","p","","0"
"2025-03","Campobello","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296963910","38.41.1","9436","","p","","0"
"2025-03","Campobello","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296963911","38.41.2","9261","","p","","0"
"2025-03","Campobello","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296963912","38.41.3","175","","p","","0"
"2025-03","Campobello","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296963913","38.42.1","9436","","p","","0"
"2025-03","Campobello","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296963914","38.42.2","9261","","p","","0"
"2025-03","Campobello","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296963915","38.42.3","175","","p","","0"
"2025-03","Milltown","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296964380","40.41.1","4479","","p","","0"
"2025-03","Milltown","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296964381","40.41.2","4182","","p","","0"
"2025-03","Milltown","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296964382","40.41.3","297","","p","","0"
"2025-03","Milltown","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296964383","40.42.1","4479","","p","","0"
"2025-03","Milltown","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296964384","40.42.2","4182","","p","","0"
"2025-03","Milltown","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296964385","40.42.3","297","","p","","0"
"2025-03","Moncton","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296964615","41.41.1","9023","","p","","0"
"2025-03","Moncton","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296964616","41.41.2","93","","p","","0"
"2025-03","Moncton","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296964617","41.41.3","8930","","p","","0"
